color_code,color_name,family,family_code,hex,r,g,b
01-001,Black,Black,1,#000000,0,0,0
01-002,Deep Black,Black,1,#0A0A0A,10,10,10
01-003,Washed Black,Black,1,#2B2B2B,43,43,43
01-004,Charcoal,Black,1,#36454F,54,69,79
01-005,Jet Black,Black,1,#0F0F0F,15,15,15
01-006,Soft Black,Black,1,#1C1C1C,28,28,28
01-007,Off Black,Black,1,#1A1A1A,26,26,26
01-008,Vintage Black,Black,1,#3B3B3B,59,59,59
02-001,White,White,2,#FFFFFF,255,255,255
02-002,Off White,White,2,#F8F8F0,248,248,240
02-003,Ivory,White,2,#FFFFF0,255,255,240
02-004,Cream White,White,2,#FFFDD0,255,253,208
02-005,Snow White,White,2,#FFFAFA,255,250,250
02-006,Chalk,White,2,#F5F5F5,245,245,245
02-007,Pearl White,White,2,#F0EAD6,240,234,214
03-001,Light Grey,Grey,3,#D3D3D3,211,211,211
03-002,Mid Grey,Grey,3,#A9A9A9,169,169,169
03-003,Dark Grey,Grey,3,#696969,105,105,105
03-004,Ash Grey,Grey,3,#B2BEB5,178,190,181
03-005,Silver Grey,Grey,3,#C0C0C0,192,192,192
03-006,Concrete,Grey,3,#9E9E9E,158,158,158
03-007,Graphite,Grey,3,#383838,56,56,56
03-008,Smoke,Grey,3,#708090,112,128,144
04-001,Light Blue,Blue,4,#ADD8E6,173,216,230
04-002,Sky Blue,Blue,4,#87CEEB,135,206,235
04-003,Baby Blue,Blue,4,#BFEFFF,191,239,255
04-004,Royal Blue,Blue,4,#4169E1,65,105,225
04-005,Navy,Blue,4,#000080,0,0,128
04-006,Dark Navy,Blue,4,#00004F,0,0,79
04-007,Petrol Blue,Blue,4,#003B44,0,59,68
04-008,Turquoise,Blue,4,#40E0D0,64,224,208
04-009,Teal,Blue,4,#008080,0,128,128
04-010,Denim Blue,Blue,4,#1560BD,21,96,189
04-011,Ice Blue,Blue,4,#E0FFFF,224,255,255
04-012,Steel Blue,Blue,4,#4682B4,70,130,180
05-001,Mint,Green,5,#98FF98,152,255,152
05-002,Sage,Green,5,#9CAF88,156,175,136
05-003,Olive,Green,5,#808000,128,128,0
05-004,Khaki Green,Green,5,#6B8E23,107,142,35
05-005,Emerald,Green,5,#50C878,80,200,120
05-006,Forest Green,Green,5,#228B22,34,139,34
05-007,Lime,Green,5,#00FF00,0,255,0
05-008,Dark Green,Green,5,#006400,0,100,0
05-009,Army Green,Green,5,#4B5320,75,83,32
05-010,Bottle Green,Green,5,#006A4E,0,106,78
06-001,Red,Red,6,#FF0000,255,0,0
06-002,Bright Red,Red,6,#FF2400,255,36,0
06-003,Dark Red,Red,6,#8B0000,139,0,0
06-004,Burgundy,Red,6,#800020,128,0,32
06-005,Wine,Red,6,#722F37,114,47,55
06-006,Cherry,Red,6,#DE3163,222,49,99
06-007,Coral Red,Red,6,#FF4040,255,64,64
06-008,Rust,Red,6,#B7410E,183,65,14
06-009,Brick Red,Red,6,#CB4154,203,65,84
07-001,Light Pink,Pink,7,#FFB6C1,255,182,193
07-002,Baby Pink,Pink,7,#F4C2C2,244,194,194
07-003,Fuchsia,Pink,7,#FF00FF,255,0,255
07-004,Hot Pink,Pink,7,#FF69B4,255,105,180
07-005,Blush,Pink,7,#DE5D83,222,93,131
07-006,Rose,Pink,7,#FF007F,255,0,127
07-007,Dusty Pink,Pink,7,#D8A7B1,216,167,177
07-008,Salmon,Pink,7,#FA8072,250,128,114
08-001,Lavender,Purple,8,#E6E6FA,230,230,250
08-002,Lilac,Purple,8,#C8A2C8,200,162,200
08-003,Violet,Purple,8,#8F00FF,143,0,255
08-004,Plum,Purple,8,#8E4585,142,69,133
08-005,Aubergine,Purple,8,#580F41,88,15,65
08-006,Mauve,Purple,8,#E0B0FF,224,176,255
08-007,Deep Purple,Purple,8,#4B0082,75,0,130
09-001,Yellow,Yellow,9,#FFFF00,255,255,0
09-002,Mustard,Yellow,9,#FFDB58,255,219,88
09-003,Lemon,Yellow,9,#FFF44F,255,244,79
09-004,Gold Yellow,Yellow,9,#FFD700,255,215,0
09-005,Neon Yellow,Yellow,9,#CCFF00,204,255,0
09-006,Pastel Yellow,Yellow,9,#FDFD96,253,253,150
10-001,Orange,Orange,10,#FFA500,255,165,0
10-002,Burnt Orange,Orange,10,#CC5500,204,85,0
10-003,Peach,Orange,10,#FFE5B4,255,229,180
10-004,Apricot,Orange,10,#FBCEB1,251,206,177
10-005,Terracotta,Orange,10,#E2725B,226,114,91
10-006,Neon Orange,Orange,10,#FF5F1F,255,95,31
11-001,Brown,Brown,11,#8B4513,139,69,19
11-002,Dark Brown,Brown,11,#654321,101,67,33
11-003,Chocolate,Brown,11,#7B3F00,123,63,0
11-004,Mocha,Brown,11,#967969,150,121,105
11-005,Camel,Brown,11,#C19A6B,193,154,107
11-006,Cognac,Brown,11,#9A463D,154,70,61
11-007,Chestnut,Brown,11,#954535,149,69,53
11-008,Tan,Brown,11,#D2B48C,210,180,140
11-009,Sand Brown,Brown,11,#C2B280,194,178,128
12-001,Beige,Neutral,12,#F5F5DC,245,245,220
12-002,Nude,Neutral,12,#E3BC9A,227,188,154
12-003,Taupe,Neutral,12,#483C32,72,60,50
12-004,Stone,Neutral,12,#928E85,146,142,133
12-005,Off Beige,Neutral,12,#EDE6D6,237,230,214
13-002,Multicolor Two,Multicolor,13,#000000,0,0,0
13-003,Multicolor Three,Multicolor,13,#000000,0,0,0
13-999,Printed Multicolor,Multicolor,13,#000000,0,0,0
