category,subcategory
Outerwear,Jacket
Outerwear,Leather Jacket
Outerwear,Coat
Outerwear,Fur Coat
Outerwear,Cape
Outerwear,Parka
Outerwear,Vest
Outerwear,Blazer
Outerwear,Trench coat
Outerwear,Poncho
T-shirt,T-shirt
T-shirt,Polo shirt
Tops,Shirt
Tops,Blouse
Tops,Tunic
Tops,Top
Tops,Body
Tops,Hoodie
Tops,Sweatshirt
Tops,Knit sweater
Tops,Roll-neck
Tops,Cardigan
Bottoms,Jeans
Bottoms,Trousers
Bottoms,Sweatpants
Bottoms,Bermudas
Bottoms,Leggings
Bottoms,Shorts
Bottoms,Skirt
Dresses,Dresses
Dresses,Mini dress
Dresses,Midi dress
Dresses,Maxi dress
Suits & Sets,Suits
Suits & Sets,Sets
Dresses,Jumpsuit
Sleepwear,Pajama Set
Sleepwear,Nightdress
Sleepwear,Robe
Underwear,Bra & Undershirt
Underwear,Briefs
Underwear,Boxers
Underwear,Panties
Underwear,Underwear set
Underwear,Underwear other
Underwear,Socks
Underwear,Tights
Underwear,Stockings
Swimwear,Bikini
Swimwear,One-Piece
Swimwear,Swim Shorts
Swimwear,Swim Bottom
Swimwear,Swim Top
Swimwear,Cover-Up
Swimwear,Towel
