image_path,style,color_code,color_desc,color_name,color_family,vendor_gh1,part_desc,category,subcategory,match_confidence,source_file,sheet,gender,category_source,color_source,division,abs_image_path,label,label_idx
dataset/images/levis_A7235-0008.jpg,A7235-0008,BISON,Browns,,Brown,Mens-Tops,Outerwear,Outerwear,Jacket,high,Order Levis Belgrade Usce APPAREL FW25.xlsx,All_All,Mens,levis_subcategory,levis_color_family,Apparel,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\levis_A7235-0008.jpg,Brown,2
dataset/images/W6BD62W5200_F5ZB.jpg,W6BD62W5200,F5ZB,RUCHE RED,Red,Red,SKIRTS,MIDI  PU SKIRT,Bottoms,Skirt,high,6-ORDERSHEET_MAIN FW26_GUESS_WLCEE.xlsx,W,W,part_desc_keyword,exact_color_name,Apparel,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\W6BD62W5200_F5ZB.jpg,Red,9
dataset/images/kids_S6BG03Z1327_FNO9.jpg,S6BG03Z1327,FNO9,LOGO 4G FLOC AOP BEI,,Multicolor,ONE PIECE,LS SWEATER DRESS WITH BODY,Tops,Body,medium,11-ORDERSHEET_MAINFW26_KIDS_WLCEE.xlsx,G,G,part_desc_keyword,family_keyword,Apparel,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\kids_S6BG03Z1327_FNO9.jpg,Multicolor,5
dataset/images/bmg_50568673_001-Black.jpg,50568673,001-Black,001-Black,Black,Black,Belts,Informal Belts,Belts,Belts,high,BMG_FA26_FCO_XYZ BANJA LUKA.xlsx,BANJA LUKA BMG FA26,,boss_spg,exact_color_name,Accesories,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\bmg_50568673_001-Black.jpg,Black,0
dataset/images/guess_W6YZ08Z0979_JBLK.jpg,W6YZ08Z0979,JBLK,Jet Black A996,Jet Black,Black,ACCESSORIES,ESME CORSET TOP SWTR,Tops,Knit sweater,high,6-ORDERSHEET_MAIN FW26_GUESS_WLCEE.xlsx,W,W,part_desc_keyword,exact_color_name,Apparel,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\guess_W6YZ08Z0979_JBLK.jpg,Black,0
dataset/images/marciano_G6BK32Z1630_JBLK.jpg,G6BK32Z1630,JBLK,Jet Black A996,Jet Black,Black,DRESSES,ROMAN BANDAGE DRESS,Dresses,Dresses,high,8-ORDERSHEET_MAIN FW26_MARCIANO_WLCEE.xlsx,W,W,part_desc_keyword,exact_color_name,Apparel,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\marciano_G6BK32Z1630_JBLK.jpg,Black,0
dataset/images/kids_J6BH03W3950_G012.jpg,J6BH03W3950,G012,CREAM WHITE,Cream White,White,WOVEN TOPS,BOXY LS POPLIN SHIRT W/SWEATER,Tops,Knit sweater,high,11-ORDERSHEET_MAINFW26_KIDS_WLCEE.xlsx,G,G,part_desc_keyword,exact_color_name,Apparel,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\kids_J6BH03W3950_G012.jpg,White,10
dataset/images/ftw_FLFCRLSUE11_DBROW.jpg,FLFCRLSUE11,DBROW,dark brown,Dark Brown,Brown,DRESS SHOES,CARALEE,Boots,Boots,high,10-ORDERSHEET_MAINFW26_FOOTWEAR_WLCEE.xlsx,w,W,part_desc_keyword,exact_color_name,Footware,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\ftw_FLFCRLSUE11_DBROW.jpg,Brown,2
dataset/images/hb_AW5651WOL03_BLA.jpg,AW5651WOL03,BLA,BLACK,Black,Black,TEXTILE,30 X 180 CM KNITTED SCARF,Soft Accessories,Scarf/Bandana,high,7-ORDERSHEET_MAIN FW26_HB_WLCEE.xlsx,W,W,part_desc_keyword,exact_color_name,Accesories,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\hb_AW5651WOL03_BLA.jpg,Black,0
dataset/images/M6BR26Z1376_A00O.jpg,M6BR26Z1376,A00O,BEIGE LINEN,Beige,Neutral,SWEATERS,NIKITA CN LS SOFT SWTR,Tops,Knit sweater,high,6-ORDERSHEET_MAIN FW26_GUESS_WLCEE.xlsx,M,M,part_desc_keyword,exact_color_name,Apparel,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\M6BR26Z1376_A00O.jpg,Neutral,6
