image_path,style,color_code,color_desc,color_name,color_family,vendor_gh1,part_desc,category,subcategory,match_confidence,source_file,sheet,gender,category_source,color_source,division,abs_image_path,label,label_idx
dataset/images/hb_PMSHAGP6461_GED.jpg,PMSHAGP6461,GED,GREY/RED,Red,Red,MISCELLANEOUS,SHANGHAI SMALL NECESSAIRE,Other Accessories,Other Accessories,medium,7-ORDERSHEET_MAIN FW26_HB_WLCEE.xlsx,M,M,gh1_fallback,exact_color_name,Accesories,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\hb_PMSHAGP6461_GED.jpg,Other Accessories,18
dataset/images/kids_J6BL29W5130_FK1N.jpg,J6BL29W5130,FK1N,DEBOSSED 4G SOFT PIN,,,OUTERWEAR,PADDED HOODED LONG JACKET W/ZI,Outerwear,Jacket,low,11-ORDERSHEET_MAINFW26_KIDS_WLCEE.xlsx,G,G,part_desc_keyword,unmapped,Apparel,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\kids_J6BL29W5130_FK1N.jpg,Jacket,14
dataset/images/kids_J6BZ48W4086_G7JZ.jpg,J6BZ48W4086,G7JZ,FROZEN LIGHT BLUE,Light Blue,Blue,ACCESSORIES,TEDDY BASEBALL HAT,Soft Accessories,Hats,high,11-ORDERSHEET_MAINFW26_KIDS_WLCEE.xlsx,G,G,part_desc_keyword,exact_color_name,Accesories,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\kids_J6BZ48W4086_G7JZ.jpg,Hats,12
dataset/images/levis_A5566-0028.jpg,A5566-0028,RESCUED CITY,Med Indigo - Worn In,,Blue,Womens-Bottoms,Jeans,Bottoms,Jeans,high,Order Levis Belgrade Usce APPAREL FW25.xlsx,All_All,Womens,levis_subcategory,levis_color_family,Apparel,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\levis_A5566-0028.jpg,Jeans,15
dataset/images/kids_L6BQ14K6130_G1CA.jpg,L6BQ14K6130,G1CA,PASADENA STONE,Stone,Neutral,SWEATSHIRT,LS ACTIVE TOP,Tops,Sweatshirt,high,11-ORDERSHEET_MAINFW26_KIDS_WLCEE.xlsx,B,B,part_desc_keyword,exact_color_name,Apparel,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\kids_L6BQ14K6130_G1CA.jpg,Sweatshirt,25
dataset/images/M6BP26K6702_JBLK.jpg,M6BP26K6702,JBLK,Jet Black A996,Jet Black,Black,KNIT TOPS,LS MATEO VARIGATED RIB ROLLNEC,Tops,Top,medium,6-ORDERSHEET_MAIN FW26_GUESS_WLCEE.xlsx,M,M,gh1_fallback,exact_color_name,Apparel,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\M6BP26K6702_JBLK.jpg,Top,27
dataset/images/kids_J6BZ58W5153_JBLK.jpg,J6BZ58W5153,JBLK,Jet Black A996,Jet Black,Black,ACCESSORIES,FAUX FUR HAT,Soft Accessories,Hats,high,11-ORDERSHEET_MAINFW26_KIDS_WLCEE.xlsx,G,G,part_desc_keyword,exact_color_name,Accesories,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\kids_J6BZ58W5153_JBLK.jpg,Hats,12
dataset/images/marciano_G6BL02W4331_JBLK.jpg,G6BL02W4331,JBLK,Jet Black A996,Jet Black,Black,OUTERWEAR,ICE DOUBLE BREASTED BELTED CAP,Soft Accessories,Caps,high,8-ORDERSHEET_MAIN FW26_MARCIANO_WLCEE.xlsx,W,W,part_desc_keyword,exact_color_name,Accesories,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\marciano_G6BL02W4331_JBLK.jpg,Caps,6
dataset/images/levis_003P0-0003.jpg,003P0-0003,WHISPER WHITE,Tans,White,White,Womens-Tops,Woven Tops,Tops,Shirt,high,Order Levis Belgrade Usce APPAREL FW25.xlsx,All_All,Womens,levis_subcategory,exact_color_name,Apparel,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\levis_003P0-0003.jpg,Shirt,21
dataset/images/hwr_50512000_100-White.jpg,50512000,100-White,100-White,White,White,Jersey,T-Shirt,T-shirt,T-shirt,high,HWR FA26 order template incl all selections.xlsx,HWR FA2026 all product,,boss_spg,exact_color_name,Apparel,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\hwr_50512000_100-White.jpg,T-shirt,26
dataset/images/kids_K6BI10K5834_G532.jpg,K6BI10K5834,G532,CHILI RED,Red,Red,T-SHIRTS,LS T-SHIRT_LOGO,T-shirt,T-shirt,high,11-ORDERSHEET_MAINFW26_KIDS_WLCEE.xlsx,G,G,part_desc_keyword,exact_color_name,Apparel,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\kids_K6BI10K5834_G532.jpg,T-shirt,26
dataset/images/hb_HWEYG839532_BLA.jpg,HWEYG839532,BLA,BLACK,Black,Black,BAGS,ECO GEMMA BACKPACK,Bags,Backpack,high,7-ORDERSHEET_MAIN FW26_HB_WLCEE.xlsx,W,W,part_desc_keyword,exact_color_name,Accesories,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\hb_HWEYG839532_BLA.jpg,Backpack,0
dataset/images/kids_L6BG04K8111_G7V2.jpg,L6BG04K8111,G7V2,SMART BLUE,,Blue,SET,HOMEWEAR SET LS T-SHIRT+PANTS,Bottoms,Trousers,medium,11-ORDERSHEET_MAINFW26_KIDS_WLCEE.xlsx,B,B,part_desc_keyword,family_keyword,Apparel,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\kids_L6BG04K8111_G7V2.jpg,Trousers,28
dataset/images/levis_001VH-0016.jpg,001VH-0016,BIRDS OF A FEATHER SKIRT,Dark Indigo - Flat Finish,,Blue,Womens-Bottoms,Skirts,Bottoms,Skirt,high,Order Levis Belgrade Usce APPAREL FW25.xlsx,All_All,Womens,levis_subcategory,levis_color_family,Apparel,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\levis_001VH-0016.jpg,Skirt,22
dataset/images/hb_HWBG2237230_BLA.jpg,HWBG2237230,BLA,BLACK,Black,Black,BAGS,ALLEGRA GIRLFRIEND TOTE,Bags,Handbag,high,7-ORDERSHEET_MAIN FW26_HB_WLCEE.xlsx,W,W,part_desc_keyword,exact_color_name,Accesories,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\hb_HWBG2237230_BLA.jpg,Handbag,11
dataset/images/kids_L6BI06K5727_JBLK.jpg,L6BI06K5727,JBLK,Jet Black A996,Jet Black,Black,T-SHIRTS,LS T-SHIRT,T-shirt,T-shirt,high,11-ORDERSHEET_MAINFW26_KIDS_WLCEE.xlsx,B,B,part_desc_keyword,exact_color_name,Apparel,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\kids_L6BI06K5727_JBLK.jpg,T-shirt,26
dataset/images/kids_L6BI37K8006_JBLK.jpg,L6BI37K8006,JBLK,Jet Black A996,Jet Black,Black,T-SHIRTS,BOXY SS T-SHIRT,T-shirt,T-shirt,high,11-ORDERSHEET_MAINFW26_KIDS_WLCEE.xlsx,B,B,part_desc_keyword,exact_color_name,Apparel,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\kids_L6BI37K8006_JBLK.jpg,T-shirt,26
dataset/images/kids_J6BL21W4075_G012.jpg,J6BL21W4075,G012,CREAM WHITE,Cream White,White,OUTERWEAR,SHERPA & NYLON PADDED LS JACKE,Outerwear,Jacket,high,11-ORDERSHEET_MAINFW26_KIDS_WLCEE.xlsx,G,G,part_desc_keyword,exact_color_name,Apparel,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\kids_J6BL21W4075_G012.jpg,Jacket,14
dataset/images/M6BAS2D2062_TRN3.jpg,M6BAS2D2062,TRN3,TURNER,,,DENIM PANTS,FINNLEY,Bottoms,Jeans,low,6-ORDERSHEET_MAIN FW26_GUESS_WLCEE.xlsx,M,M,gh1_fallback,unmapped,Apparel,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\M6BAS2D2062_TRN3.jpg,Jeans,15
dataset/images/M6BI43K6180_G7V2.jpg,M6BI43K6180,G7V2,SMART BLUE,,Blue,T-SHIRTS,CN SS MERCERIZED SMALL LOGO TE,T-shirt,T-shirt,medium,6-ORDERSHEET_MAIN FW26_GUESS_WLCEE.xlsx,M,M,gh1_fallback,family_keyword,Apparel,C:\Users\ir.marko\Downloads\ML- projekat\dataset\images\M6BI43K6180_G7V2.jpg,T-shirt,26
